File ID,digit_label,intonation
0001214.wav,7,neutral
0001221.wav,4,excited
0001224.wav,0,neutral
0001227.wav,9,excited
0001228.wav,1,bored
0001230.wav,1,bored
0001234.wav,9,bored
0001235.wav,6,neutral
0001237.wav,6,excited
0001246.wav,6,excited
0001249.wav,8,neutral
0001253.wav,9,question
0001254.wav,0,question
0001260.wav,6,neutral
0001264.wav,8,excited
0001266.wav,7,bored
0001272.wav,5,bored
0001273.wav,4,question
0001279.wav,9,bored
0001280.wav,6,bored
0001282.wav,2,bored
0001283.wav,0,excited
0001286.wav,9,question
0001287.wav,3,bored
0001293.wav,6,bored
0001295.wav,8,excited
0001297.wav,4,neutral
0001305.wav,9,excited
0001313.wav,9,bored
0001314.wav,2,excited
0001315.wav,7,bored
0001316.wav,3,excited
0001317.wav,6,neutral
0001320.wav,4,excited
0001321.wav,8,excited
0001325.wav,8,question
0001326.wav,6,bored
0001330.wav,8,bored
0001331.wav,4,question
0001335.wav,8,question
0001343.wav,5,bored
0001348.wav,0,neutral
0001353.wav,8,bored
0001358.wav,1,excited
0001361.wav,7,neutral
0001363.wav,9,excited
0001364.wav,5,excited
0001365.wav,1,neutral
0001369.wav,0,neutral
0001380.wav,8,neutral
0001382.wav,1,neutral
0001383.wav,7,excited
0001386.wav,8,excited
0001388.wav,7,bored
0001390.wav,4,neutral
0001396.wav,2,neutral
0001400.wav,2,excited
0001402.wav,8,excited
0001404.wav,9,excited
0001406.wav,3,neutral
0001413.wav,1,bored
0001414.wav,1,excited
0001416.wav,6,excited
0001419.wav,4,neutral
0001423.wav,8,neutral
0001427.wav,0,excited
0001433.wav,1,excited
0001436.wav,4,question
0001437.wav,3,neutral
0001439.wav,9,bored
0001441.wav,1,bored
0001445.wav,2,excited
0001446.wav,9,bored
0001447.wav,5,bored
0001448.wav,3,excited
0001457.wav,4,excited
0001461.wav,8,neutral
0001470.wav,5,question
0001472.wav,2,question
0001475.wav,1,bored
0001484.wav,2,question
0001485.wav,4,excited
0001486.wav,2,excited
0001489.wav,1,excited
0001492.wav,0,question
0001494.wav,2,question
0001496.wav,4,excited
0001497.wav,7,bored
0001501.wav,1,bored
0001508.wav,5,excited
0001515.wav,6,bored
0001518.wav,2,question
0001519.wav,0,excited
0001522.wav,8,neutral
0001523.wav,9,question
0001529.wav,5,bored
0001530.wav,9,bored
0001531.wav,1,bored
0001534.wav,0,question
0001539.wav,1,question
0001544.wav,4,question
0001546.wav,0,excited
0001548.wav,9,neutral
0001554.wav,6,neutral
0001556.wav,8,neutral
0001558.wav,1,question
0001560.wav,6,excited
0001561.wav,5,neutral
0001563.wav,0,neutral
0001565.wav,3,bored
0001567.wav,1,excited
0001576.wav,8,question
0001577.wav,6,question
0001581.wav,9,question
0001583.wav,7,excited
0001584.wav,2,excited
0001585.wav,7,bored
0001587.wav,7,bored
0001588.wav,2,excited
0001589.wav,0,question
0001594.wav,5,question
0001596.wav,6,question
0001600.wav,0,neutral
0001604.wav,7,excited
0001605.wav,3,bored
0001607.wav,8,excited
0001608.wav,3,neutral
0001612.wav,0,neutral
0001616.wav,3,question
0001625.wav,2,question
0001628.wav,5,neutral
0001632.wav,2,excited
0001637.wav,3,neutral
0001642.wav,2,question
0001646.wav,3,bored
0001649.wav,8,bored
0001651.wav,9,excited
0001652.wav,8,neutral
0001655.wav,6,neutral
0001656.wav,6,excited
0001658.wav,9,excited
0001661.wav,9,question
0001662.wav,9,excited
0001668.wav,2,neutral
0001675.wav,5,neutral
0001676.wav,3,bored
0001677.wav,4,bored
0001680.wav,6,bored
0001681.wav,4,neutral
0001682.wav,3,bored
0001691.wav,1,neutral
0001709.wav,8,excited
0001711.wav,7,bored
0001713.wav,1,excited
0001716.wav,0,bored
0001719.wav,9,excited
0001720.wav,6,bored
0001722.wav,0,neutral
0001724.wav,0,excited
0001726.wav,8,question
0001729.wav,2,neutral
0001736.wav,9,bored
0001737.wav,1,excited
0001738.wav,7,neutral
0001740.wav,6,bored
0001741.wav,0,neutral
0001746.wav,7,excited
0001751.wav,6,neutral
0001756.wav,9,question
0001762.wav,4,neutral
0001767.wav,7,question
0001768.wav,7,bored
0001769.wav,2,neutral
0001780.wav,8,excited
0001783.wav,0,bored
0001787.wav,4,excited
0001790.wav,9,neutral
0001792.wav,9,bored
0001793.wav,6,question
0001794.wav,9,bored
0001796.wav,1,neutral
0001798.wav,8,neutral
0001801.wav,6,bored
0001804.wav,0,question
0001805.wav,8,neutral
0001806.wav,9,question
0001808.wav,9,excited
0001809.wav,8,question
0001812.wav,5,bored
0001813.wav,2,question
0001820.wav,4,question
0001832.wav,1,excited
0001833.wav,6,question
0001834.wav,0,bored
0001838.wav,8,neutral
0001841.wav,1,neutral
0001844.wav,7,bored
0001845.wav,9,question
0001846.wav,0,bored
0001858.wav,8,excited
0001863.wav,0,bored
0001865.wav,4,bored
0001866.wav,5,bored
0001870.wav,9,question
0001872.wav,9,neutral
0001878.wav,7,bored
0001880.wav,4,bored
0001881.wav,3,excited
0001884.wav,6,excited
0001886.wav,1,excited
0001887.wav,1,question
0001889.wav,9,question
0001890.wav,7,question
0001892.wav,3,neutral
0001895.wav,3,question
0001901.wav,7,bored
0001902.wav,3,question
0001917.wav,6,bored
0001922.wav,6,neutral
0001928.wav,3,excited
0001934.wav,6,excited
0001937.wav,2,excited
0001942.wav,1,neutral
0001948.wav,4,neutral
0001949.wav,1,question
0001951.wav,3,neutral
0001953.wav,8,bored
0001957.wav,5,excited
0001958.wav,1,question
0001961.wav,4,neutral
0001969.wav,0,neutral
0001972.wav,5,excited
0001974.wav,5,neutral
0001975.wav,4,neutral
0001979.wav,6,question
0001981.wav,6,excited
0001985.wav,6,neutral
0001986.wav,8,neutral
0001988.wav,1,excited
0001990.wav,5,question
0001991.wav,7,question
0001995.wav,4,question
0001999.wav,9,bored
0002006.wav,7,question
0002010.wav,4,bored
0002015.wav,2,question
0002017.wav,6,neutral
0002019.wav,3,question
0002025.wav,3,bored
0002028.wav,8,bored
0002035.wav,1,question
0002036.wav,0,excited
0002041.wav,4,excited
0002044.wav,0,question
0002047.wav,4,excited
0002048.wav,7,question
0002049.wav,8,neutral
0002055.wav,8,bored
0002056.wav,2,neutral
0002058.wav,0,question
0002060.wav,8,question
0002061.wav,4,bored
0002064.wav,3,question
0002068.wav,6,bored
0002070.wav,4,neutral
0002072.wav,1,bored
0002074.wav,3,bored
0002079.wav,2,bored
0002083.wav,2,question
0002088.wav,3,neutral
0002089.wav,0,neutral
0002090.wav,2,bored
0002093.wav,1,question
0002097.wav,6,excited
0002098.wav,3,neutral
0002099.wav,8,bored
0002103.wav,2,excited
0002104.wav,9,bored
0002106.wav,7,neutral
0002107.wav,3,question
0002109.wav,5,bored
0002111.wav,2,bored
0002112.wav,4,neutral
0002115.wav,9,neutral
0002117.wav,2,neutral
0002118.wav,8,question
0002121.wav,7,question
0002125.wav,5,bored
0002128.wav,1,excited
0002133.wav,6,neutral
0002134.wav,8,question
0002135.wav,6,question
0002145.wav,0,question
0002146.wav,7,bored
0002148.wav,9,question
0002150.wav,5,question
0002151.wav,9,bored
0002152.wav,7,neutral
0002157.wav,5,excited
0002160.wav,4,neutral
0002161.wav,8,excited
0002166.wav,1,neutral
0002167.wav,2,neutral
0002169.wav,4,excited
0002171.wav,7,bored
0002172.wav,9,excited
0002178.wav,1,excited
0002182.wav,9,excited
0002187.wav,6,excited
0002189.wav,4,excited
0002191.wav,9,neutral
0002192.wav,0,question
0002195.wav,8,question
0002196.wav,3,question
0002198.wav,8,question
0002201.wav,3,bored
0002203.wav,3,bored
0002209.wav,4,bored
0002211.wav,5,bored
0002212.wav,6,question
0002214.wav,3,neutral
0002218.wav,4,neutral
0002220.wav,6,excited
0002221.wav,3,question
0002229.wav,9,question
0002232.wav,2,neutral
0002240.wav,0,excited
0002244.wav,9,neutral
0002246.wav,8,neutral
0002247.wav,3,question
0002251.wav,6,neutral
0002254.wav,0,neutral
0002257.wav,8,excited
0002259.wav,5,neutral
0002261.wav,5,question
0002264.wav,5,excited
0002267.wav,4,question
0002270.wav,1,bored
0002271.wav,6,excited
0002272.wav,7,neutral
0002274.wav,6,excited
0002277.wav,1,excited
0002278.wav,1,neutral
0002280.wav,5,question
0002282.wav,9,excited
0002294.wav,2,neutral
0002301.wav,5,question
0002303.wav,7,question
0002308.wav,6,neutral
0002310.wav,3,excited
0002314.wav,4,excited
0002317.wav,9,neutral
0002318.wav,0,excited
0002319.wav,8,question
0002322.wav,6,bored
0002330.wav,2,excited
0002333.wav,6,neutral
0002339.wav,1,question
0002341.wav,3,question
0002342.wav,4,neutral
0002351.wav,5,bored
0002352.wav,7,question
0002355.wav,8,excited
0002356.wav,6,bored
0002358.wav,9,bored
0002364.wav,6,bored
0002365.wav,9,bored
0002367.wav,5,neutral
0002369.wav,1,bored
0002373.wav,4,neutral
0002376.wav,2,neutral
0002377.wav,4,excited
0002378.wav,9,neutral
0002381.wav,7,neutral
0002386.wav,3,bored
0002387.wav,7,question
0002388.wav,0,neutral
0002392.wav,6,bored
0002394.wav,6,neutral
0002398.wav,1,question
0002399.wav,7,question
0002403.wav,4,bored
0002404.wav,3,excited
0002406.wav,0,bored
0002412.wav,4,question
0002413.wav,3,neutral
0002422.wav,2,excited
0002423.wav,4,question
0002424.wav,5,neutral
0002425.wav,8,question
0002427.wav,2,neutral
0002430.wav,7,neutral
0002431.wav,2,question
0002432.wav,4,question
0002435.wav,4,question
0002437.wav,7,bored
0002438.wav,9,excited
0002441.wav,3,bored
0002444.wav,9,bored
0002446.wav,1,question
0002447.wav,9,bored
0002448.wav,3,question
0002449.wav,7,question
0002456.wav,4,excited
0002465.wav,5,neutral
0002468.wav,9,question
0002472.wav,9,bored
0002475.wav,2,question
0002478.wav,5,excited
0002479.wav,6,question
0002480.wav,8,excited
0002484.wav,3,neutral
0002492.wav,9,question
0002494.wav,4,bored
0002496.wav,7,bored
0002497.wav,0,neutral
0002498.wav,5,bored
0002501.wav,8,question
0002503.wav,7,excited
0002508.wav,0,question
0002509.wav,1,excited
0002510.wav,8,excited
0002517.wav,7,bored
0002518.wav,6,neutral
0002520.wav,5,question
0002521.wav,1,question
0002523.wav,9,neutral
0002531.wav,4,question
0002533.wav,2,bored
0002537.wav,8,bored
0002539.wav,4,neutral
0002540.wav,5,neutral
0002541.wav,5,bored
0002542.wav,5,question
0002546.wav,3,excited
0002549.wav,3,bored
0002552.wav,2,excited
0002554.wav,8,bored
0002558.wav,8,bored
0002560.wav,8,excited
0002564.wav,0,question
0002572.wav,8,excited
0002577.wav,3,neutral
0002579.wav,0,neutral
0002581.wav,9,bored
0002587.wav,0,excited
0002591.wav,8,bored
0002600.wav,8,neutral
0002602.wav,0,excited
0002606.wav,2,question
0002609.wav,4,bored
0002612.wav,3,bored
0002616.wav,0,excited
0002623.wav,9,excited
0002631.wav,7,excited
0002632.wav,1,question
0002635.wav,0,question
0002636.wav,6,question
0002640.wav,8,neutral
0002641.wav,3,question
0002642.wav,3,bored
0002644.wav,3,bored
0002647.wav,6,excited
0002648.wav,7,excited
0002650.wav,5,neutral
0002651.wav,7,question
0002652.wav,1,bored
0002655.wav,2,excited
0002657.wav,1,neutral
0002669.wav,3,bored
0002671.wav,1,neutral
0002679.wav,1,bored
0002681.wav,5,question
0002682.wav,2,question
0002684.wav,0,excited
0002685.wav,4,question
0002689.wav,1,excited
0002692.wav,5,neutral
0002694.wav,9,bored
0002696.wav,2,neutral
0002701.wav,5,excited
0002702.wav,2,question
0002709.wav,9,question
0002710.wav,1,question
0002712.wav,3,question
0002718.wav,5,excited
0002719.wav,1,question
0002720.wav,8,neutral
0002721.wav,5,neutral
0002724.wav,6,bored
0002728.wav,3,excited
0002734.wav,7,excited
0002737.wav,2,excited
0002744.wav,7,neutral
0002745.wav,5,bored
0002748.wav,4,bored
0002753.wav,5,excited
0002757.wav,1,bored
0002764.wav,9,question
0002767.wav,2,neutral
0002769.wav,4,bored
0002771.wav,3,neutral
0002772.wav,5,excited
0002774.wav,6,bored
0002775.wav,0,excited
0002778.wav,1,question
0002780.wav,8,neutral
0002782.wav,6,bored
0002785.wav,4,bored
0002789.wav,8,neutral
0002794.wav,6,neutral
0002795.wav,7,neutral
0002796.wav,8,question
0002797.wav,6,bored
0002799.wav,5,excited
0002803.wav,8,neutral
0002805.wav,5,excited
0002809.wav,8,excited
0002811.wav,3,excited
0002812.wav,4,bored
0002823.wav,3,question
0002825.wav,3,bored
0002832.wav,2,neutral
0002833.wav,6,bored
0002837.wav,7,bored
0002848.wav,7,neutral
0002852.wav,1,bored
0002853.wav,7,neutral
0002857.wav,9,neutral
0002862.wav,8,bored
0002864.wav,7,bored
0002865.wav,0,question
0002869.wav,4,bored
0002877.wav,6,bored
0002879.wav,2,neutral
0002881.wav,9,bored
0002884.wav,6,question
0002887.wav,7,bored
0002889.wav,0,question
0002892.wav,6,excited
0002897.wav,7,neutral
0002902.wav,1,neutral
0002903.wav,3,excited
0002904.wav,4,excited
0002906.wav,0,neutral
0002908.wav,0,question
0002914.wav,2,excited
0002917.wav,9,question
0002918.wav,2,neutral
0002923.wav,0,neutral
0002926.wav,1,bored
0002927.wav,8,question
0002933.wav,9,bored
0002938.wav,4,question
0002939.wav,1,bored
0002947.wav,5,bored
0002951.wav,0,neutral
0002952.wav,5,bored
0002955.wav,4,question
0002956.wav,1,neutral
0002958.wav,8,excited
0002964.wav,0,excited
0002969.wav,9,neutral
0002970.wav,2,neutral
0002974.wav,8,excited
0002978.wav,3,excited
0002979.wav,0,neutral
0002980.wav,6,neutral
0002981.wav,2,neutral
0002983.wav,7,bored
0002985.wav,4,bored
0002987.wav,6,bored
0002991.wav,6,question
0002993.wav,0,question
0002995.wav,9,question
0002998.wav,5,neutral
0003001.wav,0,neutral
0003006.wav,7,bored
0003008.wav,0,neutral
0003011.wav,2,bored
0003014.wav,1,excited
0003019.wav,3,neutral
0003027.wav,7,bored
0003028.wav,8,neutral
0003029.wav,6,bored
0003030.wav,2,neutral
0003031.wav,1,question
0003033.wav,4,bored
0003034.wav,6,excited
0003038.wav,3,excited
0003040.wav,8,neutral
0003042.wav,0,question
0003043.wav,0,excited
0003044.wav,5,excited
0003045.wav,7,excited
0003047.wav,4,bored
0003048.wav,7,excited
0003049.wav,5,neutral
0003050.wav,1,neutral
0003053.wav,6,question
0003056.wav,2,question
0003059.wav,0,neutral
0003060.wav,5,neutral
0003061.wav,5,bored
0003067.wav,3,excited
0003071.wav,9,bored
0003076.wav,6,neutral
0003081.wav,2,neutral
0003093.wav,5,question
0003101.wav,4,bored
0003103.wav,0,question
0003106.wav,2,bored
0003110.wav,3,bored
0003111.wav,3,question
0003112.wav,7,bored
0003114.wav,2,neutral
0003118.wav,0,excited
0003127.wav,8,bored
0003132.wav,4,excited
0003133.wav,5,neutral
0003134.wav,3,excited
0003143.wav,3,bored
0003145.wav,6,neutral
0003146.wav,0,excited
0003149.wav,2,question
0003150.wav,2,neutral
0003152.wav,7,excited
0003155.wav,1,bored
0003158.wav,9,neutral
0003159.wav,7,bored
0003160.wav,8,bored
0003161.wav,5,question
0003164.wav,6,bored
0003168.wav,2,excited
0003169.wav,3,bored
0003174.wav,6,question
0003176.wav,7,excited
0003185.wav,2,excited
0003187.wav,9,neutral
0003188.wav,5,bored
0003192.wav,2,question
0003195.wav,8,excited
0003198.wav,1,neutral
0003202.wav,3,bored
0003204.wav,1,neutral
0003205.wav,1,question
0003208.wav,3,question
0003210.wav,4,excited
0003214.wav,2,bored
0003215.wav,1,question
0003217.wav,5,bored
0003218.wav,5,neutral
0003221.wav,6,excited
0003227.wav,5,bored
0003230.wav,6,excited
0003233.wav,0,neutral
0003234.wav,2,neutral
0003235.wav,6,neutral
0003242.wav,5,excited
0003245.wav,4,neutral
0003246.wav,9,excited
0003250.wav,1,neutral
0003256.wav,2,bored
0003258.wav,5,neutral
0003264.wav,0,neutral
0003266.wav,4,neutral
0003267.wav,0,neutral
0003268.wav,1,excited
0003269.wav,9,excited
0003271.wav,7,neutral
0003276.wav,7,neutral
0003280.wav,3,excited
0003287.wav,2,question
0003292.wav,5,excited
0003293.wav,1,excited
0003295.wav,8,neutral
0003298.wav,4,neutral
0003301.wav,8,bored
0003302.wav,9,question
0003305.wav,0,excited
0003308.wav,9,question
0003312.wav,1,question
0003313.wav,8,bored
0003314.wav,0,excited
0003319.wav,4,excited
0003321.wav,0,neutral
0003323.wav,7,excited
0003326.wav,9,bored
0003327.wav,8,excited
0003329.wav,8,excited
0003332.wav,3,question
0003335.wav,4,question
0003336.wav,2,excited
0003341.wav,5,question
0003355.wav,7,bored
0003363.wav,9,question
0003365.wav,0,neutral
0003367.wav,4,excited
0003371.wav,5,excited
0003372.wav,4,excited
0003373.wav,6,question
0003377.wav,4,neutral
0003378.wav,9,question
0003380.wav,4,question
0003382.wav,8,excited
0003390.wav,9,bored
0003392.wav,6,bored
0003394.wav,4,bored
0003396.wav,5,question
0003397.wav,6,excited
0003398.wav,4,neutral
0003401.wav,7,neutral
0003402.wav,6,question
0003404.wav,8,neutral
0003406.wav,2,bored
0003408.wav,5,excited
0003415.wav,3,excited
0003417.wav,8,excited
0003418.wav,0,neutral
0003420.wav,5,excited
0003423.wav,5,neutral
0003425.wav,6,question
0003427.wav,5,excited
0003428.wav,2,excited
0003429.wav,3,bored
0003433.wav,3,neutral
0003434.wav,1,question
0003441.wav,4,bored
0003454.wav,8,excited
0003459.wav,2,bored
0003460.wav,9,question
0003462.wav,2,excited
0003463.wav,7,bored
0003465.wav,8,excited
0003469.wav,6,question
0003472.wav,7,excited
0003478.wav,7,excited
0003479.wav,5,neutral
0003481.wav,0,question
0003482.wav,6,neutral
0003483.wav,6,bored
0003488.wav,2,excited
0003492.wav,3,excited
0003493.wav,8,excited
0003494.wav,8,question
0003497.wav,6,excited
0003498.wav,5,neutral
0003504.wav,2,excited
0003505.wav,3,neutral
